id;right_ankle;left_ankle;right_calf;left_calf;right_thigh;left_thigh;right_arm;left_arm;hips;waist;bust;created_date;created_by;last_update_date;last_update_by
1;99920;34608;66911;23848;19304;83251;37267;94722;66529;12539;87006;2020-04-20;Steel;2020-04-20;Avon Licensed Frozen Towels Florida
2;23948;68945;70810;1401;58458;99422;40145;14993;69838;77698;71833;2020-04-20;functionalities Berkshire;2020-04-21;Auto Loan Account
3;16873;56961;65056;60316;77925;54543;73503;99957;17073;50128;14901;2020-04-20;Mexico unleash;2020-04-20;Manors
4;52637;84229;26823;21513;97076;35469;37983;99280;51370;8959;91280;2020-04-21;fuchsia;2020-04-20;Compatible
5;35004;47034;95853;21064;1964;2404;89391;81075;62334;16824;90261;2020-04-20;Cotton Borders;2020-04-20;fuchsia
6;95854;14583;44568;90856;70700;98728;21892;7927;28703;21193;84843;2020-04-21;access Incredible Rubber Car teal;2020-04-20;incubate orchid Designer
7;91921;47222;85787;50686;84916;56890;58782;90710;68563;58598;50876;2020-04-20;Granite Awesome withdrawal;2020-04-20;mobile
8;58410;87410;15128;82564;19879;86884;98537;30913;24255;58125;76920;2020-04-20;magenta Connecticut;2020-04-20;Licensed Granite Shoes bus
9;20599;11291;16098;44202;11917;93905;6454;66239;36181;99941;81058;2020-04-21;Balboa US Dollar Checking Account;2020-04-21;focus group lavender JBOD
10;84447;64390;13867;75973;45715;59350;37764;5984;77640;87382;61208;2020-04-20;dot-com;2020-04-20;Concrete Tanzania Credit Card Account
