id;right_ankle;left_ankle;right_calf;left_calf;right_thigh;left_thigh;right_arm;left_arm;hips;waist;bust;created_date;created_by;last_update_date;last_update_by
1;61635;23537;29043;86989;82123;22708;60528;68219;67865;69840;11118;2020-04-20;Paradigm Handmade Music;2020-04-21;invoice Specialist
2;54044;22717;51479;18348;40257;65145;25091;22603;79467;3258;79599;2020-04-20;Personal Loan Account Director PNG;2020-04-21;Crest Spring Shoes
3;20882;88298;67934;3682;74811;35193;77740;60609;4948;93919;51732;2020-04-21;Mobility front-end;2020-04-21;parse
4;2397;71907;89806;88894;63932;43485;49386;28233;42435;98179;34824;2020-04-20;firewall;2020-04-20;Future Mountain Money Market Account
5;76423;6690;84266;62426;60954;2266;56992;83251;58096;61389;38747;2020-04-20;Steel;2020-04-21;convergence generate overriding
6;59470;37286;9151;71352;5078;50186;5034;70850;95783;36700;78307;2020-04-21;infrastructure Response Synergistic;2020-04-20;transmitting
7;60197;5680;53377;34782;72148;17053;29964;8750;84605;58502;82625;2020-04-20;plum Inverse Handcrafted;2020-04-21;incentivize
8;11089;90057;73932;66434;55509;12947;12056;74889;49247;15614;32178;2020-04-21;Shirt Nevada yellow;2020-04-20;Concrete navigate
9;70989;66056;50440;34668;39449;244;9087;18779;13905;90374;94464;2020-04-20;Home Loan Account intuitive;2020-04-20;Fantastic Metal Salad
10;29165;83806;4391;82972;91353;3739;39988;53890;59991;19453;88066;2020-04-20;Incredible;2020-04-20;Money Market Account bypassing
